id,popularity,artist_total_followers
0C9uAlhkfRGX14tojHE9CL,2,66
5yJQESWDle4vEpptfqxjkN,13,2674
69bG9tC62d8oTFC9aTTosn,60,92921
2fmfhABysLV519rQYOBvtm,36,13281
2bEFxVGVlzEIEdDAaQZCrc,40,33929
6ahs4UAnYtpgTHHdiojFHt,40,49348
4crJ8wTee0AgPI72R7YS77,15,829
4SOtk3HtPYKqxnVuxNBMti,56,71167
62Xs9S1gahH6vGEJ24qdkK,27,9315
4CfWrGkxBLMmYyYaVJrNUK,21,301
0m5FakHKCQdA7UN0PIzMcL,67,777341
0tNjyz75Px29Yuf1sjs25G,45,71956
0IDSJa4NZqzjo1kwUi7ey5,25,1475
0lO2c86rQmrRJArBxgw0v8,33,68868
07UDsvTBcRbWq8mMLCWanW,2,268
3npqmbFpNzqVxiM7lRxc8l,21,1643
5qtaCawWuhPeW3GlHErpgt,10,80
0IDSJa4NZqzjo1kwUi7ey5,25,1475
0IDSJa4NZqzjo1kwUi7ey5,25,1475
7BCf2R7bgylYjfgeq5Zrrm,26,5694
3epjAWvLxTBlI9FgGCUNID,22,4844
0qLnmyPkPQPV0e8QIGXfwx,14,610
1FdyxaqE1PaJxVeyWFSRLy,18,1641
00GY7qIbWxTy6POjq0p5pH,3,281
4uKVLCvDKjjNM58cXtKitT,29,17956
6pDpSqJDuF6J6jxfAz4sTB,30,3782
06x5hKHmGzMggWmRK833nv,45,22296
1PSMheCYLCq1BzwX4whaD0,7,611
1PSMheCYLCq1BzwX4whaD0,7,611
1PSMheCYLCq1BzwX4whaD0,7,611
1PSMheCYLCq1BzwX4whaD0,7,611
21HBTc552kkzxrvjweXO6z,8,759
1r19EpaTIboSLEJFgJ4Y4p,28,3321
6Ps3il61MWMsd9zgHpOqV3,13,306
1BBCTmfUcLXaO7pJC1K2ts,0,99
20zIZk4XpHgNPwW0Dx1O8X,14,659
10OYRF7ERuocazzldugdFT,23,5288
4mH0dAiXciHoeDXl9KTJ0N,1,321
18rDbW9ZbZpHpIDoJPTore,19,7852
3zGSxj4KVFViyoSk5r1z2F,0,17
44bCHF7imUjwB6XkoDGg0s,2,366
